box	game_id	families	n_hard	n_soft	n_damage	n_findings	perspectives	sample_turn	sample_message
i-005adc19f61405de9	b001/g3/20260812T044139-l2-000090	struggle_damage	3	0	3	3	p2	116	observed damage 24 on trevenant from lunala struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 34)
i-005adc19f61405de9	b001/g9/20260812T044139-l5-000089	struggle_damage	3	0	3	3	p1+p2	112	observed damage 43 on blissey from gholdengo struggle (crit=False) not in the PS-exact roll set (nearest delta -14; max_roll 68)
i-005adc19f61405de9	b002/g12/20260812T045533-l2-000022	struggle_damage	1	0	1	1	p1	20	observed damage 19 on arceusghost from indeedeef struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 29)
i-005adc19f61405de9	b002/g13/20260812T045533-l2-000053	bellydrum_sitrus	0	2	0	2	p2	1	observed item loss (Sitrus Berry) on opp but no branch removes it
i-005adc19f61405de9	b002/g14/20260812T045533-l2-000023	other_categorical	0	1	0	1	p1	16	observed volatile Substitute end on opp but no branch removes it
i-005adc19f61405de9	b002/g4/20260812T045533-l3-000073	ko_margin_soft	0	1	0	1	p1	20	observed par on opp but no branch applies it [ko-margin]
i-005adc19f61405de9	b002/g4/20260812T045533-l5-000029	bellydrum_sitrus	0	1	0	1	p1	3	observed item loss (Sitrus Berry) on opp but no branch removes it
i-005adc19f61405de9	b002/g4/20260812T045533-l6-000067	other_categorical	0	1	0	1	p2	48	observed heal on user but no branch heals it [membership 5/5 vacuous]
i-005adc19f61405de9	b002/g5/20260812T045533-l5-000030	other_categorical	1	0	0	1	p1	23	observed + spa on opp but no branch produces it
i-005adc19f61405de9	b002/g7/20260812T045533-l2-000038	other_categorical	1	0	0	1	p1	18	observed - spd on user but no branch produces it
i-005adc19f61405de9	b003/g3/20260812T051200-l3-000003	struggle_damage	3	0	3	3	p1	101	observed damage 19 on cresselia from chimecho struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 27)
i-005adc19f61405de9	b003/g5/20260812T051200-l1-000053	ko_margin_soft	0	1	0	1	p2	15	observed slp on user but no branch applies it [ko-margin]
i-005adc19f61405de9	b003/g6/20260812T051200-l2-000071	struggle_damage	1	0	1	1	p2	27	observed damage 21 on hippowdon from ludicolo struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 29)
i-005adc19f61405de9	b003/g9/20260812T051200-l1-000020	struggle_damage	1	0	1	1	p1	27	observed damage 70 on blissey from ludicolo struggle (crit=False) not in the PS-exact roll set (nearest delta -17; max_roll 103)
i-005adc19f61405de9	b004/g1/20260812T052515-l1-000020	struggle_damage	1	0	1	1	p1	38	observed damage 24 on slowbrogalar from raikou struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 31)
i-005adc19f61405de9	b004/g11/20260812T052515-l1-000024	bellydrum_sitrus	0	1	0	1	p2	12	observed item loss (Sitrus Berry) on opp but no branch removes it
i-005adc19f61405de9	b004/g11/20260812T052515-l2-000034	revival_blessing	0	1	0	1	p1	22	observed heal on user but no branch heals it
i-005adc19f61405de9	b004/g15/20260812T052515-l4-000004	struggle_damage	1	0	1	1	p2	15	observed damage 22 on noctowl from chandelure struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 34)
i-005adc19f61405de9	b004/g3/20260812T052515-l4-000079	struggle_damage	1	0	1	1	p2	13	observed damage 19 on chienpao from vivillonmarine struggle (crit=False) not in the PS-exact roll set (nearest delta -7; max_roll 31)
i-005adc19f61405de9	b004/g4/20260812T052515-l4-000031	struggle_damage	2	0	2	2	p2	89	observed damage 7 on oinkolognef from lunala struggle (crit=False) not in the PS-exact roll set (nearest delta -1; max_roll 10)
i-005adc19f61405de9	b005/g1/20260812T053806-l4-000069	struggle_damage	1	0	1	1	p2	117	observed damage 10 on suicune from arboliva struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 15)
i-005adc19f61405de9	b005/g11/20260812T053806-l3-000081	bellydrum_sitrus	0	1	0	1	p2	15	observed heal on opp but no branch heals it
i-005adc19f61405de9	b005/g11/20260812T053806-l4-000087	struggle_damage	1	0	1	1	p2	126	observed damage 18 on glaceon from lunala struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 24)
i-005adc19f61405de9	b005/g13/20260812T053806-l5-000066	struggle_damage	3	0	3	3	p2	98	observed damage 15 on diancie from tropius struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 24)
i-005adc19f61405de9	b005/g3/20260812T053806-l1-000037	other_categorical	1	0	0	1	p2	42	observed + def on user but no branch produces it
i-005adc19f61405de9	b005/g5/20260812T053806-l5-000013	struggle_damage	1	0	1	1	p1	75	observed damage 34 on jolteon from wigglytuff struggle (crit=False) not in the PS-exact roll set (nearest delta -10; max_roll 52)
i-005adc19f61405de9	b005/g5/20260812T053806-l6-000038	ko_margin_soft	0	1	0	1	p2	9	observed slp on opp but no branch applies it [ko-margin]
i-005adc19f61405de9	b005/g8/20260812T053806-l3-000063	struggle_damage	1	0	1	1	p2	13	observed damage 22 on palkiaorigin from kyogre struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 31)
i-005adc19f61405de9	b006/g15/20260812T055341-l4-000065	ko_margin_soft	0	1	0	1	p1	7	observed + spe on opp but no branch produces it [ko-margin]
i-005adc19f61405de9	b006/g15/20260812T055341-l4-000080	ko_margin_soft	0	1	0	1	p1	50	observed - atk on user but no branch produces it [ko-margin]
i-005adc19f61405de9	b006/g15/20260812T055341-l5-000092	ko_margin_soft	0	2	0	2	p1	59	observed + spe on opp but no branch produces it [ko-margin]
i-005adc19f61405de9	b006/g2/20260812T055341-l5-000043	struggle_damage	1	0	1	1	p1	33	observed damage 25 on dragapult from jolteon struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 36)
i-005adc19f61405de9	b006/g4/20260812T055341-l5-000063	struggle_damage	1	0	1	1	p2	43	observed damage 25 on alcremierubycream from typhlosion struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 37)
i-005adc19f61405de9	b006/g9/20260812T055341-l2-000011	struggle_damage	1	0	1	1	p1	76	observed damage 16 on cresselia from electrodehisui struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 24)
i-005adc19f61405de9	b006/g9/20260812T055341-l2-000068	struggle_damage	1	0	1	1	p1	15	observed damage 31 on empoleon from palkia struggle (crit=False) not in the PS-exact roll set (nearest delta -1; max_roll 38)
i-005adc19f61405de9	b006/g9/20260812T055341-l3-000062	bellydrum_sitrus	0	1	0	1	p1	33	observed item loss (Sitrus Berry) on opp but no branch removes it
i-005adc19f61405de9	b007/g10/20260812T060658-l5-000005	struggle_damage	1	0	1	1	p2	104	observed damage 14 on glastrier from screamtail struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 22)
i-005adc19f61405de9	b007/g2/20260812T060658-l5-000033	struggle_damage	1	0	1	1	p2	46	observed damage 23 on clefable from gothitelle struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 35)
i-005adc19f61405de9	b007/g3/20260812T060658-l1-000068	struggle_damage	1	0	1	1	p1	91	observed damage 26 on flamigo from pecharunt struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 36)
i-005adc19f61405de9	b007/g7/20260812T060658-l4-000094	ko_margin_soft	0	2	0	2	p2	22	observed - atk on user but no branch produces it [ko-margin]
i-005adc19f61405de9	b008/g10/20260812T062037-l1-000062	struggle_damage	1	0	1	1	p2	29	observed damage 12 on dunsparce from palkia struggle (crit=False) not in the PS-exact roll set (nearest delta -1; max_roll 16)
i-005adc19f61405de9	b008/g14/20260812T062037-l2-000085	bellydrum_sitrus	0	2	0	2	p1	2	observed item loss (Sitrus Berry) on opp but no branch removes it
i-005adc19f61405de9	b008/g15/20260812T062037-l3-000003	ko_margin_soft	0	1	0	1	p1	15	observed slp on opp but no branch applies it [ko-margin]
i-005adc19f61405de9	b008/g3/20260812T062037-l4-000004	struggle_damage	1	0	1	1	p2	118	observed damage 27 on oricoriopompom from suicune struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 37)
i-005adc19f61405de9	b008/g5/20260812T062037-l1-000009	struggle_damage	1	0	1	1	p2	24	observed damage 39 on espeon from raichu struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 53)
i-005adc19f61405de9	b008/g7/20260812T062037-l6-000082	struggle_damage	1	0	1	1	p1	13	observed damage 20 on froslass from clawitzer struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 26)
i-005adc19f61405de9	b009/g0/20260812T063826-l3-000032	bellydrum_sitrus	0	1	0	1	p1	4	observed item loss (Sitrus Berry) on opp but no branch removes it
i-005adc19f61405de9	b009/g0/20260812T063826-l4-000059	other_categorical	1	0	0	1	p1	42	observed volatile confusion start on opp but no branch applies it
i-005adc19f61405de9	b009/g1/20260812T063826-l2-000054	revival_blessing	2	0	0	2	p2	19	observed + spa on user but no branch produces it
i-005adc19f61405de9	b009/g1/20260812T063826-l4-000061	other_categorical	1	0	0	1	p2	15	observed - spa on user but no branch produces it
i-005adc19f61405de9	b009/g10/20260812T063826-l5-000022	bellydrum_sitrus	0	2	0	2	p1	1	observed item loss (Sitrus Berry) on opp but no branch removes it
i-005adc19f61405de9	b009/g2/20260812T063826-l4-000032	struggle_damage	4	0	4	4	p2	129	observed damage 2 on misdreavus from blissey struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 5)
i-005adc19f61405de9	b009/g7/20260812T063826-l3-000010	struggle_damage	1	0	1	1	p1	108	observed damage 15 on palossand from sylveon struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 25)
i-00708246f812c0788	b000/g0/20260812T065012-l2-000027	bellydrum_sitrus	0	2	0	2	p1	1	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00708246f812c0788	b000/g0/20260812T065012-l6-000044	struggle_damage	3	0	3	3	p2	90	observed damage 21 on malamar from chimecho struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 31)
i-00708246f812c0788	b000/g15/20260812T065012-l5-000057	struggle_damage	1	0	1	1	p1	24	observed damage 17 on dipplin from gothitelle struggle (crit=True) not in the PS-exact roll set (nearest delta -4; max_roll 25)
i-00708246f812c0788	b000/g5/20260812T065012-l4-000013	revival_blessing	2	0	0	2	p1	25	observed + def on user but no branch produces it
i-00708246f812c0788	b000/g6/20260812T065012-l2-000002	bellydrum_sitrus	0	2	0	2	p1	1	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00708246f812c0788	b000/g7/20260812T065012-l1-000001	other_damage_rollset	1	0	1	1	p2	11	observed damage 100 on volcarona from bellossom terablast (crit=False) not in the PS-exact roll set (nearest delta -144; max_roll 292)
i-00b4314672584842e	b000/g13/20260812T065015-l3-000003	ko_margin_soft	0	1	0	1	p1	39	observed slp on opp but no branch applies it [ko-margin]
i-00b4314672584842e	b000/g14/20260812T065015-l3-000003	struggle_damage	1	0	1	1	p1	26	observed damage 23 on grafaiai from ursalunabloodmoon struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 33)
i-00b4314672584842e	b000/g7/20260812T065015-l2-000022	bellydrum_sitrus	0	1	0	1	p2	9	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00b4314672584842e	b000/g8/20260812T065015-l6-000039	struggle_damage	1	0	1	1	p1	74	observed damage 28 on quagsire from volcanion struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 39)
i-00cabc96530ceb0d2	b000/g10/20260812T042524-l4-000010	bellydrum_sitrus	1	1	0	2	p2	5	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00cabc96530ceb0d2	b000/g11/20260812T042524-l4-000071	struggle_damage	2	0	2	2	p2	130	observed damage 4 on spiritomb from blissey struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 11)
i-00cabc96530ceb0d2	b000/g7/20260812T042524-l5-000024	struggle_damage	2	0	2	2	p2	87	observed damage 11 on kingdra from arboliva struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 18)
i-00cabc96530ceb0d2	b000/g8/20260812T042524-l4-000030	bellydrum_sitrus	0	1	0	1	p1	5	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00cabc96530ceb0d2	b001/g1/20260812T044207-l3-000043	struggle_damage	1	0	1	1	p1	33	observed damage 18 on mesprit from cresselia struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 25)
i-00cabc96530ceb0d2	b001/g3/20260812T044207-l1-000011	struggle_damage	1	0	1	1	p2	87	observed damage 33 on vaporeon from wigglytuff struggle (crit=False) not in the PS-exact roll set (nearest delta -10; max_roll 51)
i-00cabc96530ceb0d2	b001/g6/20260812T044207-l4-000023	struggle_damage	1	0	1	1	p2	9	observed damage 22 on kingambit from typhlosionhisui struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 31)
i-00cabc96530ceb0d2	b002/g0/20260812T045551-l5-000062	struggle_damage	3	0	3	3	p1	124	observed damage 23 on articuno from tropius struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 32)
i-00cabc96530ceb0d2	b002/g10/20260812T045551-l2-000029	struggle_damage	1	0	1	1	p2	71	observed damage 13 on slowbrogalar from appletun struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 19)
i-00cabc96530ceb0d2	b002/g15/20260812T045551-l2-000035	struggle_damage	1	0	1	1	p1	35	observed damage 23 on greattusk from wigglytuff struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 32)
i-00cabc96530ceb0d2	b002/g15/20260812T045551-l6-000018	struggle_damage	1	0	1	1	p1	110	observed damage 29 on sylveon from pecharunt struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 38)
i-00cabc96530ceb0d2	b002/g2/20260812T045551-l1-000064	ko_margin_soft	0	1	0	1	p2	42	observed - atk on user but no branch produces it [ko-margin]
i-00cabc96530ceb0d2	b002/g2/20260812T045551-l6-000075	struggle_damage	1	0	1	1	p2	29	observed damage 43 on raikou from scovillain struggle (crit=False) not in the PS-exact roll set (nearest delta -6; max_roll 58)
i-00cabc96530ceb0d2	b002/g4/20260812T045551-l5-000056	struggle_damage	5	0	5	5	p2	86	observed damage 9 on clodsire from chimecho struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 15)
i-00cabc96530ceb0d2	b002/g7/20260812T045551-l2-000071	struggle_damage	2	0	2	2	p1	101	observed damage 25 on screamtail from reuniclus struggle (crit=False) not in the PS-exact roll set (nearest delta -7; max_roll 39)
i-00cabc96530ceb0d2	b003/g1/20260812T050905-l5-000040	bellydrum_sitrus	0	2	0	2	p2	6	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00cabc96530ceb0d2	b003/g13/20260812T050905-l3-000027	ko_margin_soft	0	2	0	2	p1+p2	41	observed + atk on user but no branch produces it [ko-margin]
i-00cabc96530ceb0d2	b003/g15/20260812T050905-l2-000010	struggle_damage	1	0	1	1	p1	9	observed damage 18 on gumshoos from calyrexshadow struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 25)
i-00cabc96530ceb0d2	b003/g15/20260812T050905-l5-000035	struggle_damage	1	0	1	1	p2	111	observed damage 26 on hooh from vaporeon struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 36)
i-00cabc96530ceb0d2	b003/g8/20260812T050905-l3-000003	struggle_damage	2	0	2	2	p1	75	observed damage 37 on weavile from sceptile struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 50)
i-00cabc96530ceb0d2	b004/g0/20260812T052233-l1-000026	bellydrum_sitrus	0	1	0	1	p2	36	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00cabc96530ceb0d2	b004/g1/20260812T052233-l1-000018	revival_blessing	1	0	0	1	p2	11	observed + def on user but no branch produces it
i-00cabc96530ceb0d2	b004/g10/20260812T052233-l1-000060	struggle_damage	1	0	1	1	p2	93	observed damage 31 on heracross from palossand struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 43)
i-00cabc96530ceb0d2	b004/g12/20260812T052233-l2-000027	struggle_damage	1	0	1	1	p2	21	observed damage 27 on araquanid from typhlosionhisui struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 35)
i-00cabc96530ceb0d2	b004/g14/20260812T052233-l1-000024	bellydrum_sitrus	0	1	0	1	p1	8	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00cabc96530ceb0d2	b004/g2/20260812T052233-l6-000069	ko_margin_soft	0	1	0	1	p2	42	observed slp on opp but no branch applies it [ko-margin]
i-00cabc96530ceb0d2	b004/g6/20260812T052233-l1-000044	revival_blessing	1	0	0	1	p1	66	observed - spa on opp but no branch produces it
i-00cabc96530ceb0d2	b004/g6/20260812T052233-l4-000081	revival_blessing	1	0	0	1	p2	22	observed + def on user but no branch produces it
i-00cabc96530ceb0d2	b004/g8/20260812T052233-l6-000087	struggle_damage	2	0	2	2	p1	9	observed damage 34 on mewtwo from volcanion struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 44)
i-00cabc96530ceb0d2	b005/g10/20260812T053559-l4-000076	struggle_damage	1	0	1	1	p1	13	observed damage 30 on palkiaorigin from volcanion struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 40)
i-00cabc96530ceb0d2	b005/g12/20260812T053559-l4-000007	struggle_damage	3	0	3	3	p2	111	observed damage 20 on amoonguss from gholdengo struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 29)
i-00cabc96530ceb0d2	b005/g8/20260812T053559-l5-000018	struggle_damage	1	0	1	1	p2	107	observed damage 20 on vaporeon from electrodehisui struggle (crit=False) not in the PS-exact roll set (nearest delta -8; max_roll 34)
i-00cabc96530ceb0d2	b006/g0/20260812T054911-l6-000006	bellydrum_sitrus	0	1	0	1	p1	19	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00cabc96530ceb0d2	b006/g2/20260812T054911-l5-000016	struggle_damage	1	0	1	1	p2	39	observed damage 23 on hatterene from ludicolo struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 34)
i-00cabc96530ceb0d2	b006/g6/20260812T054911-l6-000072	bellydrum_sitrus	0	1	0	1	p1	7	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00cabc96530ceb0d2	b006/g8/20260812T054911-l4-000029	ko_margin_soft	0	1	0	1	p1	17	observed brn on user but no branch applies it [ko-margin]
i-00cabc96530ceb0d2	b007/g15/20260812T060223-l1-000062	struggle_damage	1	0	1	1	p2	7	observed damage 28 on pachirisu from typhlosion struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 37)
i-00cabc96530ceb0d2	b007/g5/20260812T060223-l4-000050	struggle_damage	1	0	1	1	p1	40	observed damage 3 on comfey from chansey struggle (crit=False) not in the PS-exact roll set (nearest delta -7; max_roll 12)
i-00cabc96530ceb0d2	b008/g15/20260812T061527-l3-000060	struggle_damage	1	0	1	1	p1	143	observed damage 6 on lurantis from deoxysdefense struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 10)
i-00cabc96530ceb0d2	b008/g8/20260812T061527-l2-000002	revival_blessing	1	0	0	1	p2	14	observed volatile Salt Cure start on opp but no branch applies it
i-00cabc96530ceb0d2	b009/g1/20260812T063256-l1-000001	struggle_damage	2	0	2	2	p2	136	observed damage 13 on toxapex from screamtail struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 20)
i-00cabc96530ceb0d2	b009/g12/20260812T063256-l5-000005	bellydrum_sitrus	0	1	0	1	p1	9	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00cabc96530ceb0d2	b009/g13/20260812T063256-l3-000017	bellydrum_sitrus	0	1	0	1	p1	8	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00d5b09acb436e6cb	b000/g2/20260812T065005-l2-000041	revival_blessing	1	0	0	1	p2	15	observed item loss (Heavy-Duty Boots) on opp but no branch removes it
i-00d5b09acb436e6cb	b000/g4/20260812T065005-l4-000016	struggle_damage	2	0	2	2	p2	69	observed damage 15 on avalugghisui from sceptile struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 20)
i-00d65f5d61b77de3c	b000/g1/20260812T065013-l4-000020	revival_blessing	1	0	0	1	p1	19	observed item loss (Heavy-Duty Boots) on opp but no branch removes it
i-00d65f5d61b77de3c	b000/g12/20260812T065013-l6-000046	ko_margin_soft	0	2	0	2	p2	3	observed + spa on opp but no branch produces it [ko-margin]
i-00d65f5d61b77de3c	b000/g15/20260812T065013-l4-000004	bellydrum_sitrus	0	2	0	2	p2	2	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00d65f5d61b77de3c	b000/g3/20260812T065013-l1-000018	bellydrum_sitrus	0	1	0	1	p2	15	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00f63414a0830044a	b000/g0/20260812T042515-l2-000069	revival_blessing	1	0	0	1	p1	9	observed item loss (Heavy-Duty Boots) on opp but no branch removes it
i-00f63414a0830044a	b000/g1/20260812T042515-l1-000080	struggle_damage	1	0	1	1	p2	96	observed damage 4 on duraludon from lunala struggle (crit=False) not in the PS-exact roll set (nearest delta -1; max_roll 6)
i-00f63414a0830044a	b000/g11/20260812T042515-l2-000050	struggle_damage	2	0	2	2	p1	5	observed damage 12 on probopass from ironcrown struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 18)
i-00f63414a0830044a	b000/g13/20260812T042515-l4-000095	struggle_damage	1	0	1	1	p1	76	observed damage 28 on dedenne from lugia struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 37)
i-00f63414a0830044a	b000/g3/20260812T042515-l5-000010	struggle_damage	1	0	1	1	p1	114	observed damage 7 on chesnaught from screamtail struggle (crit=False) not in the PS-exact roll set (nearest delta -3; max_roll 12)
i-00f63414a0830044a	b000/g5/20260812T042515-l4-000063	struggle_damage	2	0	2	2	p1	166	observed damage 18 on articuno from screamtail struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 26)
i-00f63414a0830044a	b001/g12/20260812T043954-l2-000058	bellydrum_sitrus	0	1	0	1	p1	11	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00f63414a0830044a	b001/g15/20260812T043954-l6-000066	struggle_damage	9	0	9	9	p1	29	observed damage 28 on phione from volcanion struggle (crit=False) not in the PS-exact roll set (nearest delta -4; max_roll 38)
i-00f63414a0830044a	b001/g2/20260812T043954-l1-000076	other_categorical	1	0	0	1	p1	25	observed brn on opp but no branch applies it
i-00f63414a0830044a	b001/g2/20260812T043954-l5-000005	ko_margin_soft	0	1	0	1	p2	7	observed slp on user but no branch applies it [ko-margin]
i-00f63414a0830044a	b001/g7/20260812T043954-l4-000072	struggle_damage	2	0	2	2	p1	86	observed damage 18 on garganacl from tropius struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 28)
i-00f63414a0830044a	b002/g0/20260812T045322-l3-000022	struggle_damage	1	0	1	1	p1	35	observed damage 26 on noivern from hydrapple struggle (crit=False) not in the PS-exact roll set (nearest delta -5; max_roll 37)
i-00f63414a0830044a	b002/g11/20260812T045322-l2-000050	struggle_damage	2	0	2	2	p1	112	observed damage 29 on vaporeon from raikou struggle (crit=False) not in the PS-exact roll set (nearest delta -7; max_roll 43)
i-00f63414a0830044a	b002/g12/20260812T045322-l3-000029	struggle_damage	1	0	1	1	p2	10	observed damage 24 on gothitelle from ursalunabloodmoon struggle (crit=True) not in the PS-exact roll set (nearest delta -7; max_roll 37)
i-00f63414a0830044a	b002/g2/20260812T045322-l1-000029	struggle_damage	3	0	3	3	p1	27	observed damage 7 on snorlax from fluttermane struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 11)
i-00f63414a0830044a	b002/g7/20260812T045322-l3-000031	struggle_damage	1	0	1	1	p2	90	observed damage 4 on chesnaught from screamtail struggle (crit=False) not in the PS-exact roll set (nearest delta -1; max_roll 7)
i-00f63414a0830044a	b002/g9/20260812T045322-l4-000018	struggle_damage	1	0	1	1	p1	30	observed damage 3 on bastiodon from fluttermane struggle (crit=False) not in the PS-exact roll set (nearest delta -1; max_roll 5)
i-00f63414a0830044a	b003/g11/20260812T050634-l1-000091	bellydrum_sitrus	0	1	0	1	p2	18	observed item loss (Sitrus Berry) on opp but no branch removes it
i-00f63414a0830044a	b003/g14/20260812T050634-l2-000015	struggle_damage	2	0	2	2	p2	115	observed damage 5 on politoed from blissey struggle (crit=False) not in the PS-exact roll set (nearest delta -7; max_roll 15)
i-00f63414a0830044a	b003/g4/20260812T050634-l4-000056	struggle_damage	3	0	3	3	p2	107	observed damage 53 on cryogonal from wigglytuff struggle (crit=True) not in the PS-exact roll set (nearest delta -18; max_roll 84)
i-00f63414a0830044a	b003/g5/20260812T050634-l4-000083	struggle_damage	4	0	4	4	p2	117	observed damage 21 on swalot from cresselia struggle (crit=False) not in the PS-exact roll set (nearest delta -2; max_roll 28)
i-00f63414a0830044a	b003/g6/20260812T050634-l2-000084	revival_blessing	2	0	0	2	p2	6	observed par on opp but no branch applies it
i-00f63414a0830044a	b003/g6/20260812T050634-l3-000063	ko_margin_soft	0	1	0	1	p1	18	observed slp on opp but no branch applies it [ko-margin]
